"LATITUDE","LONGITUDE","INTENS","SLOPE","ERROR","LOCATION","DATETIME","HOUR","MINUTE","SECOND","MINISECOND","PROVINCE","DISTRICT","COUNTRY","INPUTTIME","PROCESSFLAG","USEDIDS","CG_IC","HEIGHT"
"40.396","115.905","-16.777","-5.8","69.9","FourOPT","2015/6/16 17:39:57","17","39","57","8604659","北京市","北京市县","延庆县","2015/6/16 17:39:34","1","118,2,0,1,4","IC","1.301"
"40.468","115.848","-17.500","-5.1","178.2","FourOPT","2015/6/16 17:39:58","17","39","58","2042485","北京市","北京市县","延庆县","2015/6/16 17:39:35","1","2,4,1,0,60","CG","0.000"
"40.412","116.371","-7.721","-2.0","187.2","FourOPT","2015/6/16 17:47:35","17","47","35","7838093","北京市","北京市县","怀柔区","2015/6/16 17:47:18","1","118,1,0,4","IC","4.329"
"40.338","116.393","11.846","4.2","119.1","FourOPT","2015/6/16 18:09:21","18","9","21","646021","北京市","北京市县","怀柔区","2015/6/16 18:09:01","1","118,0,1,4","IC","3.561"
"40.642","116.345","18.457","10.3","101.1","FourOPT","2015/6/16 18:16:59","18","16","59","8984036","北京市","北京市县","延庆县","2015/6/16 18:16:37","1","118,1,0,4,117","IC","3.244"
"40.286","116.447","67.717","9.7","101.5","FourOPT","2015/6/16 18:16:59","18","16","59","9770532","北京市","北京市县","昌平区","2015/6/16 18:16:38","1","118,0,1,4,117","IC","3.468"
"40.348","116.158","-19.691","-3.9","101.4","FourOPT","2015/6/16 18:46:48","18","46","48","5856158","北京市","北京市县","昌平区","2015/6/16 18:46:24","1","2,0,4","IC","3.966"
"40.317","116.299","44.198","10.9","178.6","FourOPT","2015/6/16 18:58:59","18","58","59","8487050","北京市","北京市县","昌平区","2015/6/16 18:58:34","1","118,0,2,1,4","IC","4.067"
"40.564","115.869","-33.829","-6.7","281.4","FourOPT","2015/6/16 17:24:56","17","24","56","4235579","北京市","北京市县","延庆县","2015/6/16 17:24:32","1","2,4,0,60,117","IC","7.257"
"40.562","115.869","-19.186","-5.7","69.9","FourOPT","2015/6/16 17:24:56","17","24","56","6631161","北京市","北京市县","延庆县","2015/6/16 17:24:32","1","2,4,0,60,117","IC","3.613"
"40.563","115.863","-21.709","-16.3","139.7","FourOPT","2015/6/16 17:24:56","17","24","56","7192643","北京市","北京市县","延庆县","2015/6/16 17:24:32","1","118,4,0,60","CG","0.000"
"40.541","115.868","-21.297","-3.1","172.2","FourOPT","2015/6/16 17:32:20","17","32","20","3554603","北京市","北京市县","延庆县","2015/6/16 17:31:56","1","118,2,4,1,60","CG","0.000"
"40.563","115.853","-26.358","-3.3","178.0","FourOPT","2015/6/16 17:32:20","17","32","20","3976859","北京市","北京市县","延庆县","2015/6/16 17:31:57","1","118,4,1,0","CG","0.000"
"40.522","115.846","-39.200","-8.2","138.5","FourOPT","2015/6/16 17:40:31","17","40","31","2913070","北京市","北京市县","延庆县","2015/6/16 17:40:07","1","2,4,1,117,113","CG","0.000"
"40.334","115.997","9.592","4.5","101.4","FourOPT","2015/6/16 18:02:51","18","2","51","8201491","北京市","北京市县","昌平区","2015/6/16 18:02:26","1","118,2,0,1,4","IC","2.133"
"40.673","117.183","27.134","7.2","187.0","FourOPT","2015/6/16 19:31:27","19","31","27","4263865","北京市","北京市县","密云县","2015/6/16 19:31:01","1","1,4,117,60,131","IC","1.531"
"40.421","115.942","-8.600","-2.0","0.0","TwoMIX","2015/6/16 17:25:05","17","25","5","9874822","北京市","北京市县","延庆县","2015/6/16 17:24:41","1","2,0,118","CG","0.000"
"40.420","115.877","-16.760","-3.5","226.5","FourOPT","2015/6/16 17:25:09","17","25","9","6502234","北京市","北京市县","延庆县","2015/6/16 17:24:43","1","2,0,4,60","CG","0.000"
"40.392","115.831","-14.634","-5.4","209.8","FourOPT","2015/6/16 17:25:09","17","25","9","7380956","北京市","北京市县","延庆县","2015/6/16 17:24:43","1","2,0,4,60","CG","0.000"
"40.402","115.879","-11.457","-3.3","0.0","ThreeMIX","2015/6/16 17:25:09","17","25","9","9431989","北京市","北京市县","延庆县","2015/6/16 17:24:44","1","2,0,4","CG","0.000"
"40.558","115.923","-26.758","-6.5","69.9","FourOPT","2015/6/16 17:25:17","17","25","17","264976","北京市","北京市县","延庆县","2015/6/16 17:24:52","1","4,2,0,60,117","CG","0.000"
"40.510","116.057","-18.516","-5.0","69.9","FourOPT","2015/6/16 17:25:19","17","25","19","5556773","北京市","北京市县","延庆县","2015/6/16 17:24:53","1","2,4,0,60,117","CG","0.000"
"40.470","116.106","-33.034","-9.2","69.9","FourOPT","2015/6/16 17:25:19","17","25","19","6852492","北京市","北京市县","延庆县","2015/6/16 17:24:54","1","2,4,0,60,117","CG","0.000"
